title,director,genre,ratings,keywords
The Jungle Book,jonfavreau,"['family', 'adventure', 'drama']",6.7,"['basedonnovel', 'snake', 'wolf']"
Iron Man 2,jonfavreau,"['adventure', 'action', 'sciencefiction']",6.6,"['malibu', 'marvelcomic', 'superhero']"
Snow White and the Huntsman,rupertsanders,"['adventure', 'fantasy', 'drama']",5.8,"['queen', 'magic', 'fairytale']"
Maleficent,robertstromberg,"['fantasy', 'adventure', 'action']",7,"['fairytale', 'villain', 'sleepingbeauty']"
Dawn of the Planet of the Apes,mattreeves,"['sciencefiction', 'action', 'drama']",7.3,"['leader', 'colony', 'post-apocalyptic']"
The Lovers,rolandjoffé,"['action', 'adventure', 'sciencefiction']",4.8,[]
47 Ronin,carlrinsch,"['drama', 'action', 'adventure']",5.9,"['japan', 'suicide', 'samurai']"
Captain America: The Winter Soldier,anthonyrusso,"['action', 'adventure', 'sciencefiction']",7.6,"['washingtond.c.', 'future', 'shield']"
Shrek Forever After,mikemitchell,"['comedy', 'adventure', 'fantasy']",6,"['ogre', '3d']"
Tomorrowland,bradbird,"['adventure', 'family', 'mystery']",6.2,"['inventor', 'apocalypse', 'destiny']"
Big Hero 6,chriswilliams,"['adventure', 'family', 'animation']",7.8,"['brotherbrotherrelationship', 'hero', 'talent']"
Wreck-It Ralph,richmoore,"['family', 'animation', 'comedy']",7.1,"['supportgroup', 'productplacement', 'bullying']"
The Polar Express,robertzemeckis,"['adventure', 'animation', 'family']",6.4,"['santaclaus', 'nerd', 'faith']"
Independence Day: Resurgence,rolandemmerich,"['action', 'adventure', 'sciencefiction']",4.9,"['alternatehistory', 'alieninvasion']"
How to Train Your Dragon,chrissanders,"['fantasy', 'adventure', 'animation']",7.5,"['flying', 'blacksmith', 'arena']"
Terminator 3: Rise of the Machines,jonathanmostow,"['action', 'thriller', 'sciencefiction']",5.9,"['savingtheworld', 'artificialintelligence', 'manvsmachine']"
Guardians of the Galaxy,jamesgunn,"['action', 'sciencefiction', 'adventure']",7.9,"['marvelcomic', 'spaceship', 'space']"
Interstellar,christophernolan,"['adventure', 'drama', 'sciencefiction']",8.1,"['savingtheworld', 'artificialintelligence', 'fathersonrelationship']"
Inception,christophernolan,"['action', 'thriller', 'sciencefiction']",8.1,"['lossoflover', 'dream', 'kidnapping']"
The Hobbit: An Unexpected Journey,peterjackson,"['adventure', 'fantasy', 'action']",7,"['riddle', 'elves', 'dwarves']"
The Fast and the Furious,robcohen,"['action', 'crime', 'thriller']",6.6,"['streetgang', 'carrace', 'undercover']"
The Curious Case of Benjamin Button,davidfincher,"['fantasy', 'drama', 'thriller']",7.3,"['diary', 'navy', 'funeral']"
X-Men: First Class,matthewvaughn,"['action', 'sciencefiction', 'adventure']",7.1,"['cia', 'mutant', 'mine']"
The Hunger Games: Mockingjay - Part 2,francislawrence,"['action', 'adventure', 'sciencefiction']",6.6,"['revolution', 'strongwoman', 'dystopia']"
The Sorcerer's Apprentice,jonturteltaub,"['fantasy', 'adventure', 'action']",5.8,"['witch', 'fire', 'wolf']"
Poseidon,wolfgangpetersen,"['adventure', 'action', 'drama']",5.5,"[""newyear'seve"", 'fire', 'drowning']"
Alice Through the Looking Glass,jamesbobin,['fantasy'],6.5,"['basedonnovel', 'clock', 'queen']"
Shrek the Third,chrismiller,"['fantasy', 'adventure', 'animation']",6,"['ambush', 'sadness', 'stage']"
Warcraft,duncanjones,"['action', 'adventure', 'fantasy']",6.3,"['videogame', 'elves', 'orcs']"
Terminator Genisys,alantaylor,"['sciencefiction', 'action', 'thriller']",5.8,"['savingtheworld', 'artificialintelligence', 'cyborg']"
The Chronicles of Narnia: The Voyage of the Dawn Treader,michaelapted,"['adventure', 'family', 'fantasy']",6.2,"['basedonnovel', 'magic', 'goodvsevil']"
Pearl Harbor,michaelbay,"['history', 'romance', 'war']",6.6,"['nurse', 'patriotism', 'hawaii']"
Transformers,michaelbay,"['adventure', 'sciencefiction', 'action']",6.6,"['destroy', 'transformation', 'alien']"
Alexander,oliverstone,"['war', 'history', 'action']",5.6,"['aristotle', 'egypt', 'greece']"
Harry Potter and the Order of the Phoenix,davidyates,"['adventure', 'fantasy', 'family']",7.4,"['prophecy', 'witch', 'lossoflover']"
Harry Potter and the Goblet of Fire,mikenewell,"['adventure', 'fantasy', 'family']",7.5,"['magic', 'dyinganddeath', 'broom']"
Hancock,peterberg,"['fantasy', 'action']",6.2,"['flying', 'alcohol', ""loveofone'slife""]"
I Am Legend,francislawrence,"['drama', 'horror', 'action']",6.9,"['savingtheworld', 'lostcivilisation', 'post-apocalyptic']"
Charlie and the Chocolate Factory,timburton,"['adventure', 'comedy', 'family']",6.7,"['londonengland', 'fathersonrelationship', 'chocolate']"
Ratatouille,janpinkava,"['animation', 'comedy', 'family']",7.5,"['paris', 'brotherbrotherrelationship', 'expensiverestaurant']"
Batman Begins,christophernolan,"['action', 'crime', 'drama']",7.5,"['himalaya', 'martialarts', 'dccomics']"
Madagascar: Escape 2 Africa,ericdarnell,"['family', 'animation']",6.2,"['africa', 'jealousy', 'dance']"
Night at the Museum: Battle of the Smithsonian,shawnlevy,"['adventure', 'fantasy', 'action']",5.9,"['museum', 'theodoreroosevelt', 'duringcreditsstinger']"
X-Men Origins: Wolverine,gavinhood,"['adventure', 'action', 'thriller']",6.2,"['corruption', 'mutant', 'boxer']"
The Matrix Revolutions,lillywachowski,"['adventure', 'action', 'thriller']",6.4,"['savingtheworld', 'artificialintelligence', 'manvsmachine']"
Frozen,chrisbuck,"['animation', 'adventure', 'family']",7.3,"['queen', 'musical', 'princess']"
The Matrix Reloaded,lillywachowski,"['adventure', 'action', 'thriller']",6.7,"['savingtheworld', 'artificialintelligence', 'manvsmachine']"
Thor: The Dark World,alantaylor,"['action', 'adventure', 'fantasy']",6.8,"['marvelcomic', 'superhero', 'basedoncomicbook']"
Mad Max: Fury Road,georgemiller,"['action', 'adventure', 'sciencefiction']",7.2,"['future', 'chase', 'post-apocalyptic']"
Angels & Demons,ronhoward,"['thriller', 'mystery']",6.5,"['rome', 'vatican', 'basedonnovel']"
Thor,kennethbranagh,"['adventure', 'fantasy', 'action']",6.6,"['newmexico', 'banishment', 'shield']"
Bolt,chriswilliams,"['animation', 'family', 'adventure']",6.3,"['hamster', 'kidsandfamily', 'animal']"
G-Force,hoytyeatman,"['fantasy', 'action', 'adventure']",5.1,"['dyr', 'duringcreditsstinger']"
Wrath of the Titans,jonathanliebesman,['adventure'],5.5,"['underworld', 'hades', 'mythology']"
Dark Shadows,timburton,"['comedy', 'fantasy']",5.7,"['witch', 'imprisonment', 'vampire']"
Mission: Impossible - Rogue Nation,christophermcquarrie,"['action', 'adventure', 'thriller']",7.1,"['londonengland', 'spy', 'austria']"
The Wolfman,joejohnston,"['drama', 'horror', 'thriller']",5.5,"['fathersonrelationship', 'victorianengland', 'remake']"
Bee Movie,stevehickner,"['family', 'animation', 'adventure']",5.7,"['factoryworker', 'tennis', 'flower']"
Kung Fu Panda 2,jenniferyuhnelson,"['animation', 'family']",6.7,"['martialarts', 'hope', 'fleet']"
The Last Airbender,m.nightshyamalan,"['action', 'adventure', 'family']",4.7,"['fire', 'ice', 'warship']"
Mission: Impossible III,j.j.abrams,"['adventure', 'action', 'thriller']",6.5,"['berlin', 'cia', 'vatican']"
White House Down,rolandemmerich,"['action', 'drama', 'thriller']",6.4,"['usapresident', 'conspiracy', 'secretservice']"
Mars Needs Moms,simonwells,"['adventure', 'animation', 'family']",5.5,"['boy', 'alien', 'rescue']"
Flushed Away,davidbowers,"['adventure', 'animation', 'comedy']",6,"['londonengland', 'underworld', 'return']"
Pan,joewright,"['adventure', 'family', 'fantasy']",5.9,"['flying', 'magic', 'fairytale']"
Mr. Peabody & Sherman,robminkoff,"['animation', 'adventure', 'family']",6.7,"['fathersonrelationship', 'egypt', 'intelligence']"
Troy,wolfgangpetersen,"['adventure', 'drama', 'war']",6.9,"['brotherbrotherrelationship', 'adultery', 'mythology']"
Madagascar 3: Europe's Most Wanted,conradvernon,"['animation', 'family']",6.4,"['madagascar', '3d']"
Die Another Day,leetamahori,"['adventure', 'action', 'thriller']",5.8,"['laser', 'britishsecretservice', 'secretserviceagent']"
Ghostbusters,paulfeig,"['action', 'fantasy', 'comedy']",5.3,"['femalefriendship', 'ghosthunting', 'reboot']"
Armageddon,michaelbay,"['action', 'thriller', 'sciencefiction']",6.4,"['savingtheworld', 'paris', 'moon']"
Men in Black II,barrysonnenfeld,"['action', 'adventure', 'comedy']",6,"['savingtheworld', 'secretidentity', 'sunglasses']"
Beowulf,robertzemeckis,"['adventure', 'action', 'animation']",5.5,"['denmark', 'nordicmythology', 'lie']"
Kung Fu Panda 3,jenniferyuhnelson,"['action', 'adventure', 'animation']",6.7,"['china', 'martialarts', 'kungfu']"
Mission: Impossible - Ghost Protocol,bradbird,"['action', 'thriller', 'adventure']",6.8,"['fight', 'sequel', 'mission']"
Rise of the Guardians,peterramsey,"['fantasy', 'animation', 'family']",7.1,"['dream', 'santaclaus', 'nightmare']"
Fun with Dick and Jane,deanparisot,['comedy'],5.9,"['basedonnovel', 'desperation', 'robber']"
The Last Samurai,edwardzwick,"['drama', 'action', 'war']",7.3,"['japan', 'warcrimes', 'senseofguilt']"
Exodus: Gods and Kings,ridleyscott,"['adventure', 'drama', 'action']",5.6,"['moses', 'bible', 'ancientegypt']"
Star Trek,j.j.abrams,"['sciencefiction', 'action', 'adventure']",7.4,"['spacecraft', 'teleportation', 'spacemission']"
Spider-Man,samraimi,"['fantasy', 'action']",6.8,"['lossoflover', 'spider', 'thanksgiving']"
How to Train Your Dragon 2,deandeblois,"['fantasy', 'action', 'adventure']",7.6,"['fathersonrelationship', 'wifehusbandrelationship', 'sacrifice']"
Gods of Egypt,alexproyas,['fantasy'],5.3,"['egypt', 'underworld', 'fight']"
Stealth,robcohen,['action'],4.9,"['artificialintelligence', 'u.s.navy', 'aftercreditsstinger']"
Watchmen,zacksnyder,"['action', 'mystery', 'sciencefiction']",7,"['dccomics', 'secretidentity', 'massmurder']"
Lethal Weapon 4,richarddonner,"['action', 'adventure', 'comedy']",6.3,"['lapd', 'houseonfire', 'revolver']"
Hulk,anglee,"['drama', 'action', 'sciencefiction']",5.3,"['california', 'sanfrancisco', 'monster']"
G.I. Joe: Retaliation,jonm.chu,"['adventure', 'action', 'sciencefiction']",5.4,"['terror', 'assassin', 'secret']"
Sahara,breckeisner,"['action', 'adventure', 'comedy']",5.7,"['tyrant', 'ironcladship']"
Final Fantasy: The Spirits Within,hironobusakaguchi,"['adventure', 'action', 'animation']",5.9,"['battleassignment', 'dystopia', 'alien']"
Captain America: The First Avenger,joejohnston,"['action', 'adventure', 'sciencefiction']",6.6,"['newyork', 'usa', 'worldwarii']"
The World Is Not Enough,michaelapted,"['adventure', 'action', 'thriller']",6,"['british', 'mission', 'oil']"
Master and Commander: The Far Side of the World,peterweir,['adventure'],6.9,"['naturalist', 'frigate', 'selfsurgery']"
The Twilight Saga: Breaking Dawn - Part 2,billcondon,"['adventure', 'fantasy', 'drama']",6.1,"['vampire', 'romance', 'villainess']"
Happy Feet Two,georgemiller,"['animation', 'comedy', 'family']",5.8,"['penguin', 'musical', 'aftercreditsstinger']"
The Incredible Hulk,louisleterrier,"['sciencefiction', 'action', 'adventure']",6.1,"['newyork', 'riodejaneiro', 'marvelcomic']"
The BFG,stevenspielberg,"['adventure', 'family', 'fantasy']",6,"['londonengland', 'england', 'basedonnovel']"
The Revenant,alejandrogonzáleziñárritu,"['western', 'drama', 'adventure']",7.3,"['fathersonrelationship', 'rape', 'basedonnovel']"
Turbo,davidsoren,"['animation', 'family']",6.1,"['underdog', 'carrace', 'dream']"
Rango,goreverbinski,"['animation', 'comedy', 'family']",6.6,"['sheriff', 'nevada', 'pet']"
Penguins of Madagascar,ericdarnell,"['family', 'animation', 'adventure']",6.5,"['penguin', 'madagascar', '3d']"
The Bourne Ultimatum,paulgreengrass,"['action', 'drama', 'mystery']",7.3,"['paris', 'corruption', 'madrid']"
Kung Fu Panda,markosborne,"['adventure', 'animation', 'family']",6.9,"['china', 'martialarts', 'kungfu']"
Ant-Man,peytonreed,"['sciencefiction', 'action', 'adventure']",7,"['marvelcomic', 'superhero', 'basedoncomicbook']"
The Hunger Games: Catching Fire,francislawrence,"['adventure', 'action', 'sciencefiction']",7.4,"['competition', 'basedonnovel', 'mentor']"
Home,timjohnson,"['fantasy', 'comedy', 'animation']",6.8,"['friendship', 'spaceship', 'space']"
War of the Worlds,stevenspielberg,"['adventure', 'thriller', 'sciencefiction']",6.2,"['posttraumaticstressdisorder', 'newjersey', 'airplane']"
Bad Boys II,michaelbay,"['adventure', 'action', 'comedy']",6.3,"['miami', 'kukluxklan', 'cuba']"
Puss in Boots,chrismiller,"['action', 'adventure', 'animation']",6.4,"['adventure', 'fairy-talefigure']"
Salt,phillipnoyce,"['action', 'mystery', 'thriller']",6.2,"['assassination', 'spy', 'cia']"
Noah,darrenaronofsky,"['drama', 'adventure']",5.6,"['bible', 'god', 'noah']"
The Adventures of Tintin,stevenspielberg,"['adventure', 'animation', 'mystery']",6.7,"['riddle', 'captain', 'treasure']"
Harry Potter and the Prisoner of Azkaban,alfonsocuarón,"['adventure', 'fantasy', 'family']",7.7,"['flying', 'traitor', 'magic']"
Australia,bazluhrmann,['drama'],6.3,"['missionary', 'worldwarii', 'ranch']"
After Earth,m.nightshyamalan,"['sciencefiction', 'action', 'adventure']",5,['dystopia']
Dinosaur,ralphzondag,"['animation', 'family']",6.2,"['cataclysm', 'asteroid', 'leader']"
Night at the Museum: Secret of the Tomb,shawnlevy,"['adventure', 'comedy', 'fantasy']",6.1,"['nightwatchman', 'museum', 'naturalhistory']"
Megamind,tommcgrath,"['animation', 'action', 'comedy']",6.7,"['savingtheworld', 'date', 'prison']"
Harry Potter and the Philosopher's Stone,chriscolumbus,"['adventure', 'fantasy', 'family']",7.5,"['witch', 'christmasparty', 'magic']"
R.I.P.D.,robertschwentke,"['fantasy', 'action', 'comedy']",5.4,"['gold', 'policeoperation', 'partner']"
Pirates of the Caribbean: The Curse of the Black Pearl,goreverbinski,"['adventure', 'fantasy', 'action']",7.5,"['exoticisland', 'blacksmith', 'eastindiatradingcompany']"
The Hunger Games: Mockingjay - Part 1,francislawrence,"['sciencefiction', 'adventure', 'thriller']",6.6,"['resistance', 'post-apocalyptic', 'dystopia']"
The Da Vinci Code,ronhoward,"['thriller', 'mystery']",6.5,"['paris', 'holygrail', 'christianity']"
Rio 2,carlossaldanha,"['animation', 'adventure', 'comedy']",6.3,"['bird', 'sequel', 'jungle']"
X2,bryansinger,"['adventure', 'action', 'sciencefiction']",6.8,"['mutant', 'marvelcomic', 'superhero']"
Fast Five,justinlin,"['action', 'thriller', 'crime']",7.1,"['brazil', 'fbi', 'freedom']"
Sherlock Holmes: A Game of Shadows,guyritchie,"['adventure', 'action', 'crime']",7,"['detectiveinspector', 'steampunk', 'criminalmastermind']"
Clash of the Titans,louisleterrier,"['adventure', 'fantasy', 'action']",5.6,"['hades', 'mythology', 'greekmythology']"
Total Recall,paulverhoeven,"['action', 'adventure', 'sciencefiction']",7.1,"['oxygen', 'falselyaccused', 'resistance']"
The 13th Warrior,johnmctiernan,"['adventure', 'fantasy', 'action']",6.4,"['witch', 'cave', 'arabian']"
The Bourne Legacy,tonygilroy,"['action', 'thriller']",6,"['assassin', 'wolf', 'maryland']"
Batman & Robin,joelschumacher,"['action', 'crime', 'fantasy']",4.2,"['doublelife', 'dccomics', 'dualidentity']"
How the Grinch Stole Christmas,ronhoward,"['family', 'comedy', 'fantasy']",6.2,"['holiday', 'christmasparty', 'newlove']"
The Day After Tomorrow,,"['action', 'adventure', 'sciencefiction']",6.2,"['savingtheworld', 'library', 'cataclysm']"
Mission: Impossible II,johnwoo,"['adventure', 'action', 'thriller']",5.9,"['terror', 'spain', 'cia']"
The Perfect Storm,wolfgangpetersen,['drama'],6.2,"['u.s.airforce', 'grocery', 'jamaican']"
4: Rise of the Silver Surfer,timstory,"['adventure', 'fantasy', 'action']",5.4,"['fire', 'helicopter', 'surfboard']"
Life of Pi,anglee,"['adventure', 'drama', 'action']",7.2,"['ocean', 'shipwreck', 'hindu']"
Ghost Rider,markstevenjohnson,"['thriller', 'action', 'fantasy']",5.2,"['mephisto', 'religionandsupernatural', 'dyinganddeath']"
Jason Bourne,paulgreengrass,"['action', 'thriller']",5.9,"['assassin', 'amnesia', 'flashback']"
Charlie's Angels: Full Throttle,mcg,"['action', 'adventure', 'comedy']",5.2,"['robbery', 'secretidentity', 'secretagent']"
Prometheus,ridleyscott,"['sciencefiction', 'adventure', 'mystery']",6.3,"['android', 'dystopia', 'alien']"
Stuart Little 2,robminkoff,"['family', 'adventure', 'animation']",5.4,"['mouse', 'falcon', 'bird']"
Elysium,neillblomkamp,"['sciencefiction', 'action', 'drama']",6.4,"['dystopia', 'spacestation', 'classconflict']"
The Chronicles of Riddick,davidtwohy,"['action', 'sciencefiction']",6.3,"['prison', 'dystopia', 'matteroflifeanddeath']"
RoboCop,josépadilha,"['action', 'sciencefiction']",5.7,"['cyborg', 'future', 'dystopia']"
Speed Racer,lillywachowski,"['action', 'family', 'sciencefiction']",5.7,"['carrace', 'lossofbrother', 'chimp']"
How Do You Know,jamesl.brooks,"['comedy', 'drama', 'romance']",4.9,"['lovetriangle', 'baseball', 'athlete']"
Knight and Day,jamesmangold,"['action', 'comedy']",5.9,"['spy', 'airport', 'gasstation']"
Oblivion,josephkosinski,"['action', 'sciencefiction', 'adventure']",6.4,"['spacecraft', 'dystopia', 'space']"
Star Wars: Episode III - Revenge of the Sith,georgelucas,"['sciencefiction', 'adventure', 'action']",7.1,"['showdown', 'deathstar', 'vision']"
Star Wars: Episode II - Attack of the Clones,georgelucas,"['adventure', 'action', 'sciencefiction']",6.4,"['senate', 'investigation', 'army']"
"Monsters, Inc.",,"['animation', 'comedy', 'family']",7.5,"['monster', 'infant', 'energysupply']"
 'job': 'Animation', 'id': 1357170, 'name': 'George Doering'}, 'job': 'Visual Effects Supervisor', 'gender': 0
The Wolverine,jamesmangold,"['action', 'sciencefiction', 'adventure']",6.3,"['japan', 'samurai', 'mutant']"
Star Wars: Episode I - The Phantom Menace,georgelucas,"['adventure', 'action', 'sciencefiction']",6.3,"['prophecy', 'senate', 'queen']"
The Croods,chrissanders,"['adventure', 'animation', 'comedy']",6.8,"['stoneage', 'daughter', 'father']"
Astérix aux Jeux Olympiques,thomaslangmann,"['fantasy', 'adventure', 'comedy']",5,"['competition', 'greece', 'colosseum']"
